YEAR,STATE,EVTYPE,FATALITIES,INJURIES,PROPDMG,CROPDMG
1950,alabama,TORNADO,0,15,0.0275,0
1951,alabama,TORNADO,0,13,0.035,0
1952,alabama,TORNADO,6,116,5.4525,0
1953,alabama,TORNADO,16,248,3.07,0
1954,alabama,TORNADO,0,36,0.60753,0
1955,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1955,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1955,alabama,TORNADO,5,27,7.58,0
1956,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1956,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1956,alabama,TORNADO,25,203,2.55325,0
1957,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1957,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1957,alabama,TORNADO,10,192,7.22328,0
1958,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1958,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1958,alabama,TORNADO,1,3,2.06,0
1959,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1959,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1959,alabama,TORNADO,0,8,0.3305,0
1960,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1960,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1960,alabama,TORNADO,0,2,0.5575,0
1961,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1961,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1961,alabama,TORNADO,0,28,2.535,0
1962,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1962,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1962,alabama,TORNADO,0,10,0.9275,0
1963,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1963,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1963,alabama,TORNADO,3,76,9.228,0
1964,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1964,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1964,alabama,TORNADO,12,31,2.1575,0
1965,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1965,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1965,alabama,TORNADO,0,44,1.3525,0
1966,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1966,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1966,alabama,TORNADO,1,17,1.1275,0
1967,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1967,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1967,alabama,TORNADO,5,97,12.75275,0
1968,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1968,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1968,alabama,TORNADO,1,46,7.27775,0
1969,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1969,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1969,alabama,TORNADO,2,16,1.63028,0
1970,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1970,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1970,alabama,TORNADO,2,16,1.1755,0
1971,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1971,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1971,alabama,TORNADO,4,16,1.65275,0
1972,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1972,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1972,alabama,TORNADO,4,95,1.9075,0
1973,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1973,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1973,alabama,TORNADO,10,408,227.06025,0
1974,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1974,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1974,alabama,TORNADO,79,959,139.5185,0
1975,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1975,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1975,alabama,TORNADO,2,142,34.90528,0
1976,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1976,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1976,alabama,TORNADO,0,61,10.33275,0
1977,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1977,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1977,alabama,TORNADO,23,144,28.135,0
1978,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1978,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1978,alabama,TORNADO,0,49,6.4525,0
1979,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1979,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1979,alabama,TORNADO,0,44,6.71025,0
1980,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1980,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1980,alabama,TORNADO,0,26,4.63525,0
1981,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1981,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1981,alabama,TORNADO,2,90,30.35553,0
1982,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1982,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1982,alabama,TORNADO,0,18,3.91278,0
1983,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1983,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,4,0,0
1983,alabama,TORNADO,3,101,16.09278,0
1984,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1984,alabama,THUNDERSTORM / THUNDERSTORM WIND,11,18,0,0
1984,alabama,TORNADO,5,60,39.258,0
1985,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1985,alabama,THUNDERSTORM / THUNDERSTORM WIND,3,18,0,0
1985,alabama,TORNADO,1,31,23.21312,0
1986,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1986,alabama,THUNDERSTORM / THUNDERSTORM WIND,6,22,0,0
1986,alabama,TORNADO,2,14,16.82825,0
1987,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1987,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,5,0,0
1987,alabama,TORNADO,1,0,0.05003,0
1988,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1988,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1988,alabama,TORNADO,0,59,31.1,0
1989,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1989,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,21,0,0
1989,alabama,TORNADO,21,478,521.105,0
1990,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1990,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,96,0,0
1990,alabama,TORNADO,0,74,17.8,0
1991,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1991,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,19,0,0
1991,alabama,TORNADO,5,33,3.25,0
1992,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1992,alabama,THUNDERSTORM / THUNDERSTORM WIND,2,11,0,0
1992,alabama,TORNADO,2,65,21.9,0
1993,alabama,BLIZZARD / WINTER STORM / WEATHER,4,0,5000,0
1993,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
1993,alabama,FLASH FLOOD,0,0,0,0
1993,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1993,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,1,5,0
1993,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
1993,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,9,0,0
1993,alabama,TORNADO,0,8,0.5,0
1994,alabama,COLD / WIND AND WINDCHILL,0,0,0.55,0
1994,alabama,FLASH FLOOD,0,2,2.5,0.2
1994,alabama,FLOOD / DAM FAILURE,2,0,50.5,5.5
1994,alabama,ICE / SNOW / FROST / HAIL,0,0,0.555,0.05
1994,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,12,3.4646,0
1994,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,2,0,55.06,5
1994,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,9,15.90605,6.105
1994,alabama,TORNADO,22,264,26.105,50.155
1995,alabama,COLD / WIND AND WINDCHILL,3,0,0,0
1995,alabama,COLD / WIND AND WINDCHILL,0,0,0.093,0
1995,alabama,DROUGHT / HEAT / WILDFIRE,5,0,0,400
1995,alabama,FLASH FLOOD,1,0,5.373,0.055
1995,alabama,FLOOD / DAM FAILURE,0,0,0,0
1995,alabama,FOG / VOG / SMOKE,1,71,0.9,0
1995,alabama,ICE / SNOW / FROST / HAIL,0,0,0.6623,0
1995,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1995,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,4,5,1.438,0
1995,alabama,MARINE WIND / SWELL / SURF,1,0,0,0
1995,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,4,0.528,0
1995,alabama,THUNDERSTORM / THUNDERSTORM WIND,3,10,5.0416,0.0255
1995,alabama,TORNADO,7,215,13.102,0.0065
1995,alabama,TROPICAL STORM / HURRICANE / TYPHOON,2,0,193,25
1996,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,1.41,0.358
1996,alabama,COLD / WIND AND WINDCHILL,3,0,0,52
1996,alabama,COLD / WIND AND WINDCHILL,0,0,0.555,0.001
1996,alabama,DROUGHT / HEAT / WILDFIRE,1,0,0,0
1996,alabama,FLASH FLOOD,1,2,1.277,0.047
1996,alabama,FLOOD / DAM FAILURE,0,0,0.2,0
1996,alabama,ICE / SNOW / FROST / HAIL,0,0,1.62,0.315
1996,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,5,1.249,0.00024
1996,alabama,MARINE WIND / SWELL / SURF,2,1,0,0
1996,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0.01,0
1996,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,21,7.5425,0.309
1996,alabama,TORNADO,7,87,17.347,0.354
1997,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0.064,0
1997,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
1997,alabama,COLD / WIND AND WINDCHILL,0,0,0.05,0
1997,alabama,DROUGHT / HEAT / WILDFIRE,0,1,0,0
1997,alabama,FLASH FLOOD,0,0,0.3085,0.014
1997,alabama,FLOOD / DAM FAILURE,0,0,0.5,0.05
1997,alabama,ICE / SNOW / FROST / HAIL,0,0,1.05075,0.076
1997,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1997,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,14,1.24,0.005
1997,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0.45
1997,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,6,2.572,0.048
1997,alabama,TORNADO,1,47,15.721,0.085
1997,alabama,TROPICAL STORM / HURRICANE / TYPHOON,1,0,60.5,2.5
1998,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0.027,0
1998,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
1998,alabama,COLD / WIND AND WINDCHILL,2,0,0.101,0
1998,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0.1
1998,alabama,DROUGHT / HEAT / WILDFIRE,2,0,0,0
1998,alabama,FLASH FLOOD,7,2,111.693,15.37
1998,alabama,FLOOD / DAM FAILURE,0,0,241.09,0
1998,alabama,ICE / SNOW / FROST / HAIL,0,0,1.518,0.604
1998,alabama,ICE / SNOW / FROST / HAIL,1,0,14.526,0
1998,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,3,0.553,0
1998,alabama,MARINE WIND / SWELL / SURF,1,0,0,0
1998,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
1998,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,18,8.3225,0.441
1998,alabama,TORNADO,34,275,207.954,3.17
1998,alabama,TROPICAL STORM / HURRICANE / TYPHOON,1,0,174.29,5
1999,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
1999,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0.045,0
1999,alabama,COLD / WIND AND WINDCHILL,1,0,0,0
1999,alabama,COLD / WIND AND WINDCHILL,0,2,0.094,0
1999,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
1999,alabama,DROUGHT / HEAT / WILDFIRE,3,0,0,0
1999,alabama,FLASH FLOOD,1,1,4.643,0
1999,alabama,ICE / SNOW / FROST / HAIL,0,0,0.217,0
1999,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1999,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,2,4,0.709,0
1999,alabama,MARINE WIND / SWELL / SURF,2,1,0,0
1999,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,1,0,0
1999,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,9,5.1795,0.005
1999,alabama,TORNADO,0,1,0.806,0.002
2000,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0.502,0
2000,alabama,COLD / WIND AND WINDCHILL,1,0,0,0
2000,alabama,COLD / WIND AND WINDCHILL,1,0,0.065,0
2000,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2000,alabama,DROUGHT / HEAT / WILDFIRE,4,0,0,0
2000,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2000,alabama,FLASH FLOOD,0,0,3.077,0
2000,alabama,FLOOD / DAM FAILURE,0,0,0,0
2000,alabama,FOG / VOG / SMOKE,0,20,0.58,0
2000,alabama,ICE / SNOW / FROST / HAIL,0,0,0.328,0.005
2000,alabama,ICE / SNOW / FROST / HAIL,0,0,3.81,0
2000,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,11,0.222,0
2000,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0.005,0
2000,alabama,THUNDERSTORM / THUNDERSTORM WIND,2,12,7.4855,0
2000,alabama,TORNADO,13,179,37.295,0
2000,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,0.01,0
2001,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2001,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0.003,0
2001,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
2001,alabama,COLD / WIND AND WINDCHILL,2,1,0.025,0
2001,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2001,alabama,FLASH FLOOD,0,4,1.122,0
2001,alabama,FLOOD / DAM FAILURE,0,0,0.02,0
2001,alabama,ICE / SNOW / FROST / HAIL,0,0,0.153,0.009
2001,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2001,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,2,20,1.205,0
2001,alabama,MARINE WIND / SWELL / SURF,1,0,0.003,0
2001,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,1,0.018,0
2001,alabama,THUNDERSTORM / THUNDERSTORM WIND,2,36,8.8785,0
2001,alabama,TORNADO,6,107,14.841,0
2001,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,0.49,0
2002,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0.03,0
2002,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
2002,alabama,COLD / WIND AND WINDCHILL,0,0,0.041,0
2002,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2002,alabama,FLASH FLOOD,0,0,7.192,0
2002,alabama,FLOOD / DAM FAILURE,0,0,0,0
2002,alabama,ICE / SNOW / FROST / HAIL,0,0,1.205,0
2002,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2002,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,6,23,0.965,0
2002,alabama,MARINE WIND / SWELL / SURF,2,2,0,0
2002,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,2,3.216,0
2002,alabama,TORNADO,13,131,17.343,0.003
2002,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,6.765,0
2003,alabama,COLD / WIND AND WINDCHILL,1,0,0,0
2003,alabama,COLD / WIND AND WINDCHILL,0,0,0.118,0
2003,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2003,alabama,FLASH FLOOD,1,1,1011.366,0.1
2003,alabama,FLOOD / DAM FAILURE,0,0,4.92,0.55
2003,alabama,ICE / SNOW / FROST / HAIL,0,0,8.921,0
2003,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,3,0.8725,0
2003,alabama,MARINE WIND / SWELL / SURF,2,0,0,0
2003,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
2003,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,5,5.806,0
2003,alabama,TORNADO,0,8,3.062,0.017
2004,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2004,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
2004,alabama,COLD / WIND AND WINDCHILL,0,6,82.851,1.365
2004,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2004,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2004,alabama,FLASH FLOOD,1,0,2.763,0
2004,alabama,FLOOD / DAM FAILURE,0,0,0,0
2004,alabama,ICE / SNOW / FROST / HAIL,0,0,0.137,0
2004,alabama,LANDSLIDE / MUDSLIDE / ROCK SLIDE,0,0,0.009,0
2004,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,8,1.074,0
2004,alabama,MARINE WIND / SWELL / SURF,0,0,0,0
2004,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,0,0,0
2004,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,1,3.6075,2.1
2004,alabama,TORNADO,1,13,5.353,0
2004,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,2503.5,25
2005,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2005,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2005,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
2005,alabama,COLD / WIND AND WINDCHILL,0,6,0.468,0
2005,alabama,DROUGHT / HEAT / WILDFIRE,3,0,0,0
2005,alabama,FLASH FLOOD,1,1,1.968,0
2005,alabama,FLOOD / DAM FAILURE,0,0,0.065,0
2005,alabama,ICE / SNOW / FROST / HAIL,0,0,1.202,0
2005,alabama,ICE / SNOW / FROST / HAIL,0,0,0.515,0
2005,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,2,3,0.723,0
2005,alabama,MARINE WIND / SWELL / SURF,2,0,0,0
2005,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
2005,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,7,4.9325,0
2005,alabama,TORNADO,0,8,4.741,0
2005,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,11,1163.605,0.1
2006,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2006,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0.02,0
2006,alabama,COLD / WIND AND WINDCHILL,0,0,0.017,0.001
2006,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2006,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2006,alabama,DUST STORM / DEVIL,0,0,0.02,0
2006,alabama,FLASH FLOOD,0,0,0.04,0
2006,alabama,FLOOD / DAM FAILURE,0,0,0,0
2006,alabama,FOG / VOG / SMOKE,0,0,0,0
2006,alabama,ICE / SNOW / FROST / HAIL,0,0,0.733,0
2006,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2006,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,10,2.885,0
2006,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,1,0.06,0
2006,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,5,3.781,0
2006,alabama,TORNADO,1,13,8.9755,0
2007,alabama,COLD / WIND AND WINDCHILL,0,0,0.214,0
2007,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2007,alabama,DROUGHT / HEAT / WILDFIRE,3,17,0,0
2007,alabama,DUST STORM / DEVIL,0,0,0,0
2007,alabama,FLASH FLOOD,0,0,0.322,0
2007,alabama,ICE / SNOW / FROST / HAIL,0,0,0.133,0
2007,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2007,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,5,1.279,0.011
2007,alabama,MARINE WIND / SWELL / SURF,5,0,0.1,0
2007,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,1,0,0
2007,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,10,7.00575,1
2007,alabama,TORNADO,10,66,269.7055,0
2008,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2008,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2008,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0,0
2008,alabama,COLD / WIND AND WINDCHILL,1,1,0.385,0
2008,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2008,alabama,DROUGHT / HEAT / WILDFIRE,0,10,0,0
2008,alabama,DUST STORM / DEVIL,0,0,0.005,0
2008,alabama,FLASH FLOOD,1,0,0.5745,0
2008,alabama,FLOOD / DAM FAILURE,0,0,0.005,0
2008,alabama,FOG / VOG / SMOKE,0,0,0.02,0
2008,alabama,ICE / SNOW / FROST / HAIL,0,0,0.033,0
2008,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2008,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,6,0.43925,0
2008,alabama,MARINE WIND / SWELL / SURF,5,0,0,0
2008,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
2008,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,4.4,0
2008,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,16,8.30455,0.002
2008,alabama,TORNADO,6,105,25.3915,0.005
2008,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,0.035,0
2009,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2009,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0,0
2009,alabama,COLD / WIND AND WINDCHILL,0,0,0,0
2009,alabama,COLD / WIND AND WINDCHILL,0,3,3.0515,0
2009,alabama,DROUGHT / HEAT / WILDFIRE,0,12,0,0
2009,alabama,FLASH FLOOD,3,1,13.0095,0
2009,alabama,FLOOD / DAM FAILURE,0,0,2.687,0
2009,alabama,FOG / VOG / SMOKE,0,0,0,0
2009,alabama,ICE / SNOW / FROST / HAIL,0,1,0.162,0
2009,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2009,alabama,LANDSLIDE / MUDSLIDE / ROCK SLIDE,0,0,0.1,0
2009,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,1,3,2.997,0
2009,alabama,MARINE WIND / SWELL / SURF,0,0,8,0
2009,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0.001,0
2009,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0,0
2009,alabama,THUNDERSTORM / THUNDERSTORM WIND,1,13,6.66525,0
2009,alabama,TORNADO,1,25,9.7445,0
2009,alabama,TROPICAL STORM / HURRICANE / TYPHOON,0,0,0.002,0
2010,alabama,BLIZZARD / WINTER STORM / WEATHER,2,2,0,0
2010,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2010,alabama,COLD / WIND AND WINDCHILL,0,0,0.045,0
2010,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2010,alabama,DROUGHT / HEAT / WILDFIRE,1,9,0,0.1
2010,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0.103,0
2010,alabama,FLASH FLOOD,0,3,1.191,0
2010,alabama,FLOOD / DAM FAILURE,0,0,2.018,0
2010,alabama,ICE / SNOW / FROST / HAIL,0,0,0.45,0
2010,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
2010,alabama,LANDSLIDE / MUDSLIDE / ROCK SLIDE,0,0,0,0
2010,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,3,16,1.411,0
2010,alabama,MARINE WIND / SWELL / SURF,2,0,0,0
2010,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,0.0235,0
2010,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,2,3.9376,0
2010,alabama,TORNADO,0,53,25.369,0
2011,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
2011,alabama,BLIZZARD / WINTER STORM / WEATHER,0,0,0.01,0
2011,alabama,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0,0
2011,alabama,COLD / WIND AND WINDCHILL,0,1,0.4246,0
2011,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2011,alabama,DROUGHT / HEAT / WILDFIRE,0,24,0,0
2011,alabama,DROUGHT / HEAT / WILDFIRE,0,0,0,0
2011,alabama,FLASH FLOOD,0,0,0.567,0
2011,alabama,FLOOD / DAM FAILURE,0,0,0.035,0
2011,alabama,ICE / SNOW / FROST / HAIL,0,0,2.9285,0
2011,alabama,ICE / SNOW / FROST / HAIL,0,0,0.0063,0
2011,alabama,LANDSLIDE / MUDSLIDE / ROCK SLIDE,0,0,0.02,0
2011,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,2,1.686,0
2011,alabama,MARINE WIND / SWELL / SURF,1,0,0,0
2011,alabama,LIGHTNING / RAIN / WET / WALL CLOUD,0,1,0.037,0
2011,alabama,THUNDERSTORM / THUNDERSTORM WIND,3,26,7.21575,0
2011,alabama,TORNADO,242,2113,4362.1057,3
1993,alaska,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
1993,alaska,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0.005,0
1993,alaska,COLD / WIND AND WINDCHILL,0,0,0,0
1993,alaska,COLD / WIND AND WINDCHILL,4,2,1.7815,0
1993,alaska,DROUGHT / HEAT / WILDFIRE,0,0,0,0
1993,alaska,FLOOD / DAM FAILURE,0,0,0,0
1993,alaska,ICE / SNOW / FROST / HAIL,0,0,0.05,0
1993,alaska,LANDSLIDE / MUDSLIDE / ROCK SLIDE,0,0,0.05,0
1993,alaska,MARINE WIND / SWELL / SURF,1,1,5.00E-04,0
1993,alaska,LIGHTNING / RAIN / WET / WALL CLOUD,0,0,5.00E-04,0
1993,alaska,THUNDERSTORM / THUNDERSTORM WIND,0,0,0.5,0
1994,alaska,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
1994,alaska,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0,0
1994,alaska,COLD / WIND AND WINDCHILL,0,0,0,0
1994,alaska,COLD / WIND AND WINDCHILL,0,0,0.0215,0
1994,alaska,FLASH FLOOD,0,0,0,0
1994,alaska,FLOOD / DAM FAILURE,0,0,0,0
1994,alaska,ICE / SNOW / FROST / HAIL,0,0,0.01,0
1995,alaska,AVALANCHE,0,0,0.005,0
1995,alaska,BLIZZARD / WINTER STORM / WEATHER,0,0,0,0
1995,alaska,COASTAL STORM / FLOOD OR EROSION / TIDE,0,0,0,0
1995,alaska,COLD / WIND AND WINDCHILL,0,0,0,0
1995,alaska,COLD / WIND AND WINDCHILL,0,0,7.53,0.01
1995,alaska,DROUGHT / HEAT / WILDFIRE,0,0,0,0
